ARRA,BANK,BCAC,BLCK,BLGL,BDRK,OTHR,BRWN,CBZN,CLPR,CNRY,COPP,CWCD,DBRK,EGLS,GSPT,GSRK,LCOD,LSPN,POP,QLBK,REX,REYE,SBLY,SHRP,SNOS,SSPN,STRK,VRML,WDOW,YEYE,YTRK
3.53357e-02,3.53357e-02,3.53357e-02,1.30742e-02,3.53357e-02,3.53357e-02,3.53357e-02,3.53357e-02,3.53357e-02,0.00000e+00,3.53357e-02,3.53357e-02,3.53357e-02,3.53357e-02,3.53357e-02,3.53357e-02,3.53357e-02,3.53357e-02,0.00000e+00,0.00000e+00,3.53357e-02,3.53357e-02,3.53357e-02,3.53357e-02,3.53357e-02,3.53357e-02,3.53357e-02,3.35689e-02,3.53357e-02,3.53357e-02,3.46290e-02,3.53357e-02
3.60620e-02,3.60620e-02,3.60620e-02,3.60620e-02,3.42589e-02,3.60620e-04,3.60620e-02,3.60620e-02,3.60620e-02,3.49802e-02,3.60620e-02,3.60620e-02,3.60620e-02,3.60620e-02,3.60620e-02,3.60620e-02,2.88496e-02,3.60620e-02,3.60620e-02,3.60620e-02,3.60620e-02,3.60620e-02,0.00000e+00,0.00000e+00,0.00000e+00,3.60620e-02,3.60620e-02,3.60620e-02,3.60620e-02,3.60620e-02,3.60620e-02,3.60620e-02
3.67242e-02,3.67242e-02,3.67242e-02,3.67242e-02,3.67242e-02,3.67242e-02,0.00000e+00,3.67242e-02,3.67242e-02,3.67242e-02,3.67242e-02,3.67242e-02,0.00000e+00,2.82776e-02,3.67242e-02,3.59897e-02,1.50569e-02,1.39552e-02,3.67242e-02,0.00000e+00,3.67242e-02,3.67242e-02,3.59897e-02,3.67242e-02,3.37863e-02,3.67242e-02,3.67242e-02,3.67242e-02,3.67242e-02,3.67242e-02,2.90121e-02,3.67242e-02
3.70508e-02,3.70508e-02,3.70508e-02,3.70508e-02,3.70508e-02,3.70508e-04,3.70508e-02,3.70508e-02,3.70508e-02,0.00000e+00,3.70508e-02,3.70508e-02,3.70508e-02,3.70508e-02,3.70508e-02,3.70508e-02,0.00000e+00,0.00000e+00,3.63097e-02,3.70508e-02,3.70508e-02,3.70508e-02,3.70508e-02,0.00000e+00,3.70508e-02,3.70508e-02,3.70508e-02,3.70508e-02,3.70508e-02,3.70508e-02,3.70508e-02,3.70508e-02
3.73972e-02,0.00000e+00,3.73972e-02,3.73972e-02,3.73972e-02,3.73972e-02,3.73972e-02,3.73972e-02,3.73972e-02,3.73972e-02,3.73972e-02,3.66492e-02,3.73972e-04,3.73972e-02,3.73972e-02,0.00000e+00,3.73972e-02,3.73972e-02,3.73972e-02,3.73972e-04,3.73972e-02,3.73972e-02,3.59013e-02,2.95438e-02,3.70232e-02,3.73972e-02,3.73972e-02,3.73972e-02,3.73972e-02,3.73972e-02,0.00000e+00,3.73972e-02
3.85356e-02,3.85356e-02,3.85356e-02,3.85356e-02,0.00000e+00,3.85356e-02,3.85356e-02,0.00000e+00,3.85356e-02,3.85356e-02,3.85356e-02,3.85356e-02,3.85356e-04,3.85356e-02,0.00000e+00,3.85356e-02,3.85356e-02,0.00000e+00,3.85356e-02,3.85356e-02,3.85356e-02,3.62235e-02,3.85356e-02,3.85356e-02,0.00000e+00,3.85356e-02,3.85356e-02,3.85356e-02,3.85356e-02,3.85356e-02,3.85356e-02,3.85356e-02
3.56888e-02,3.56888e-02,3.56888e-02,3.56888e-02,0.00000e+00,3.56888e-02,3.56888e-02,3.56888e-02,3.56888e-02,0.00000e+00,1.07066e-03,3.56888e-02,3.53319e-02,3.56888e-02,3.56888e-02,3.56888e-02,3.56888e-02,3.56888e-02,3.56888e-02,3.56888e-02,3.56888e-02,3.56888e-02,3.56888e-02,3.56888e-02,3.56888e-02,3.56888e-02,3.56888e-02,3.56888e-02,3.56888e-02,3.56888e-02,0.00000e+00,3.56888e-02
3.81534e-02,3.81534e-02,3.81534e-02,3.81534e-02,0.00000e+00,3.81534e-02,3.81534e-02,3.81534e-02,3.81534e-02,0.00000e+00,3.81534e-02,3.70088e-02,3.81534e-02,3.81534e-02,3.81534e-02,3.81534e-02,3.66272e-02,1.06829e-02,0.00000e+00,3.81534e-02,0.00000e+00,3.81534e-02,3.81534e-02,3.81534e-02,0.00000e+00,3.81534e-02,3.81534e-02,3.81534e-02,3.81534e-02,3.81534e-02,3.81534e-02,3.81534e-02
3.96040e-02,3.76238e-02,3.96040e-02,3.96040e-02,3.96040e-02,0.00000e+00,3.96040e-02,3.96040e-02,3.96040e-02,0.00000e+00,3.96040e-02,3.96040e-02,3.96040e-02,3.96040e-02,3.96040e-02,3.96040e-02,0.00000e+00,1.66337e-02,0.00000e+00,0.00000e+00,3.96040e-02,3.92079e-02,0.00000e+00,3.96040e-02,3.96040e-02,3.96040e-02,3.96040e-02,3.96040e-02,3.96040e-02,3.96040e-02,3.52475e-02,3.96040e-02
4.49438e-02,1.30337e-02,0.00000e+00,4.49438e-02,4.49438e-02,0.00000e+00,4.49438e-02,3.82022e-02,4.49438e-02,0.00000e+00,1.34831e-03,4.49438e-02,4.49438e-02,4.49438e-02,4.49438e-02,4.49438e-02,8.98876e-04,4.49438e-02,4.49438e-02,4.49438e-02,4.49438e-02,4.49438e-02,4.49438e-02,0.00000e+00,4.49438e-02,4.49438e-02,4.49438e-02,4.49438e-02,0.00000e+00,2.69663e-03,0.00000e+00,4.49438e-02
3.79219e-02,3.79219e-02,3.79219e-02,3.79219e-02,3.79219e-02,1.13766e-02,3.79219e-02,0.00000e+00,3.79219e-02,3.79219e-04,3.79219e-02,3.60258e-02,3.79219e-02,3.79219e-04,3.79219e-02,3.79219e-02,3.79219e-02,3.79219e-02,3.79219e-02,0.00000e+00,3.79219e-02,3.79219e-02,3.79219e-02,3.79219e-02,3.79219e-02,3.79219e-02,3.79219e-02,3.75427e-02,3.79219e-02,3.79219e-02,3.79219e-02,4.17141e-03
4.18585e-02,4.18585e-02,4.18585e-02,4.18585e-04,8.37170e-04,4.18585e-02,4.18585e-02,4.18585e-02,4.18585e-02,4.18585e-02,4.18585e-02,4.18585e-02,4.18585e-02,0.00000e+00,4.18585e-02,4.18585e-02,4.18585e-02,0.00000e+00,4.18585e-02,3.64169e-02,0.00000e+00,0.00000e+00,0.00000e+00,4.18585e-02,4.18585e-02,4.18585e-02,3.89284e-02,4.18585e-02,4.18585e-02,4.18585e-02,4.18585e-02,2.51151e-03
4.67946e-02,4.67946e-02,4.67946e-02,0.00000e+00,2.90126e-02,4.67946e-02,4.67946e-02,6.55124e-03,4.67946e-02,0.00000e+00,4.67946e-02,4.67946e-02,4.67946e-02,4.67946e-02,4.67946e-02,4.67946e-02,7.95508e-03,4.21151e-03,4.67946e-04,0.00000e+00,4.67946e-02,1.45063e-02,1.40384e-03,0.00000e+00,4.67946e-02,4.67946e-02,4.67946e-02,4.67946e-02,4.67946e-02,4.67946e-02,0.00000e+00,4.67946e-02
