ARRA,BANK,BCAC,BLCK,BLGL,BDRK,OTHR,BRWN,CBZN,CLPR,CNRY,COPP,CWCD,DBRK,EGLS,GSPT,GSRK,LCOD,LSPN,POP,QLBK,REX,REYE,SBLY,SHRP,SNOS,SSPN,STRK,VRML,WDOW,YEYE,YTRK
0.00000e+00,0.00000e+00,5.55247e-02,5.55247e-02,2.16546e-02,5.55247e-02,4.21988e-02,4.99722e-03,5.55247e-02,5.55247e-02,5.55247e-02,0.00000e+00,0.00000e+00,5.55247e-02,3.99778e-02,5.55247e-02,5.55247e-02,0.00000e+00,5.55247e-02,0.00000e+00,5.55247e-02,5.55247e-02,2.77624e-03,0.00000e+00,0.00000e+00,0.00000e+00,5.55247e-02,0.00000e+00,5.55247e-02,5.55247e-02,0.00000e+00,5.55247e-02
4.27533e-02,4.27533e-02,4.27533e-02,4.27533e-02,3.63403e-02,4.23258e-02,4.27533e-02,0.00000e+00,4.27533e-02,2.56520e-03,4.27533e-02,4.27533e-02,4.27533e-02,1.71013e-03,4.27533e-02,4.27533e-02,4.27533e-02,1.06883e-02,4.27533e-02,2.09491e-02,4.27533e-02,0.00000e+00,4.27533e-02,0.00000e+00,2.86447e-02,4.27533e-02,4.27533e-02,4.27533e-02,4.27533e-02,4.27533e-02,1.71013e-03,0.00000e+00
4.70588e-02,4.28235e-02,0.00000e+00,4.70588e-02,4.65882e-02,1.92941e-02,4.70588e-02,0.00000e+00,4.70588e-02,3.48235e-02,4.70588e-02,4.70588e-02,4.70588e-02,4.70588e-02,3.29412e-03,4.70588e-02,4.70588e-04,0.00000e+00,3.52941e-02,0.00000e+00,0.00000e+00,4.70588e-02,0.00000e+00,0.00000e+00,4.70588e-02,4.70588e-02,4.70588e-02,4.70588e-02,4.70588e-02,4.70588e-02,1.74118e-02,4.70588e-02
3.69276e-02,3.61891e-02,3.69276e-02,3.69276e-02,0.00000e+00,3.39734e-02,3.69276e-02,3.69276e-02,3.69276e-02,3.69276e-02,3.69276e-02,3.69276e-02,3.69276e-02,3.69276e-02,3.69276e-02,3.69276e-02,3.69276e-02,0.00000e+00,3.69276e-02,7.75480e-03,3.58198e-02,3.69276e-02,3.69276e-02,0.00000e+00,3.69276e-02,3.69276e-02,3.69276e-02,0.00000e+00,3.69276e-02,3.69276e-02,3.69276e-02,3.69276e-02
0.00000e+00,4.88520e-02,3.90816e-03,4.88520e-02,0.00000e+00,4.88520e-02,4.88520e-02,0.00000e+00,4.88520e-02,0.00000e+00,4.88520e-02,4.88520e-02,4.88520e-02,4.88520e-02,0.00000e+00,4.88520e-02,0.00000e+00,0.00000e+00,0.00000e+00,4.88520e-02,0.00000e+00,4.78749e-02,4.88520e-02,1.95408e-03,4.88520e-02,4.88520e-02,4.88520e-02,4.88520e-02,4.88520e-02,4.88520e-02,4.88520e-02,1.80752e-02
4.76417e-02,4.76417e-02,4.76417e-02,4.76417e-02,3.33492e-02,3.81134e-03,1.42925e-02,4.76417e-02,4.76417e-02,4.76417e-02,0.00000e+00,4.76417e-02,4.76417e-02,4.71653e-02,4.76417e-02,4.76417e-02,0.00000e+00,0.00000e+00,4.76417e-02,0.00000e+00,0.00000e+00,4.76417e-02,4.38304e-02,0.00000e+00,4.76417e-02,4.76417e-02,4.76417e-02,0.00000e+00,4.76417e-02,4.76417e-02,0.00000e+00,0.00000e+00
4.31220e-02,4.31220e-02,4.22596e-02,4.31220e-02,4.31220e-02,4.31220e-02,4.31220e-02,4.31220e-04,4.31220e-02,3.83786e-02,0.00000e+00,4.31220e-02,0.00000e+00,4.31220e-02,4.18284e-02,4.31220e-02,0.00000e+00,1.29366e-03,4.31220e-02,4.31220e-02,4.31220e-04,0.00000e+00,4.18284e-02,2.93230e-02,0.00000e+00,4.31220e-02,2.84605e-02,4.31220e-02,4.31220e-02,4.31220e-02,4.26908e-02,4.31220e-02
4.22833e-02,0.00000e+00,4.22833e-02,4.22833e-02,4.22833e-02,4.10148e-02,4.22833e-02,0.00000e+00,4.22833e-02,4.22833e-02,4.22833e-02,4.22833e-02,4.22833e-02,4.22833e-02,0.00000e+00,4.22833e-02,3.59408e-02,0.00000e+00,4.22833e-02,0.00000e+00,4.22833e-02,4.22833e-02,0.00000e+00,3.50951e-02,4.22833e-02,4.22833e-02,4.22833e-02,4.22833e-02,4.22833e-02,4.22833e-02,0.00000e+00,0.00000e+00
3.84025e-02,3.84025e-02,3.84025e-02,3.37942e-02,0.00000e+00,3.84025e-02,3.84025e-02,3.84025e-02,3.84025e-02,3.84025e-02,0.00000e+00,3.84025e-02,3.76344e-02,3.84025e-02,0.00000e+00,3.84025e-02,3.84025e-02,0.00000e+00,3.84025e-02,1.80492e-02,3.76344e-02,2.80338e-02,3.84025e-02,3.84025e-02,0.00000e+00,3.84025e-02,3.84025e-02,3.84025e-02,3.84025e-02,3.84025e-02,3.84025e-02,3.84025e-02
4.73709e-02,4.68972e-02,4.73709e-02,0.00000e+00,3.31596e-02,2.08432e-02,0.00000e+00,0.00000e+00,3.31596e-02,4.73709e-02,0.00000e+00,0.00000e+00,4.73709e-02,4.73709e-02,4.73709e-02,4.73709e-02,4.73709e-04,0.00000e+00,0.00000e+00,0.00000e+00,4.73709e-02,4.68972e-02,1.89484e-02,4.26338e-02,4.64235e-02,4.73709e-02,4.73709e-02,4.73709e-02,4.73709e-02,4.73709e-02,4.73709e-02,4.73709e-02
