ARRA,BANK,BCAC,BLCK,BLGL,BDRK,OTHR,BRWN,CBZN,CLPR,CNRY,COPP,CWCD,DBRK,EGLS,GSPT,GSRK,LCOD,LSPN,POP,QLBK,REX,REYE,SBLY,SHRP,SNOS,SSPN,STRK,VRML,WDOW,YEYE,YTRK
0.00000e+00,0.00000e+00,8.00641e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.00641e-02,0.00000e+00,7.52602e-02,1.60128e-02,0.00000e+00,8.00641e-02,5.44436e-02,0.00000e+00,7.92634e-02,0.00000e+00,0.00000e+00,0.00000e+00,8.00641e-02,0.00000e+00,0.00000e+00,8.00641e-02,0.00000e+00,7.36589e-02,6.48519e-02,8.00641e-02,8.00641e-02,0.00000e+00,0.00000e+00,7.60608e-02
0.00000e+00,0.00000e+00,9.76562e-03,5.20833e-03,0.00000e+00,6.51042e-02,6.51042e-02,0.00000e+00,6.51042e-02,6.05469e-02,0.00000e+00,6.05469e-02,0.00000e+00,6.51042e-02,6.51042e-02,6.51042e-02,6.51042e-04,0.00000e+00,0.00000e+00,0.00000e+00,5.66406e-02,6.51042e-03,6.51042e-04,0.00000e+00,0.00000e+00,6.51042e-02,6.51042e-02,4.42708e-02,5.79427e-02,6.51042e-02,6.51042e-02,4.62240e-02
8.06452e-02,0.00000e+00,1.61290e-03,5.64516e-02,0.00000e+00,0.00000e+00,6.12903e-02,6.93548e-02,3.87097e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.72581e-02,0.00000e+00,8.06452e-02,6.85484e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.58065e-02,0.00000e+00,0.00000e+00,4.11290e-02,1.53226e-02,8.06452e-02,8.06452e-02,8.06452e-02,8.06452e-02,8.06452e-02,0.00000e+00,0.00000e+00
8.47458e-02,4.23729e-03,8.47458e-02,6.10169e-02,1.69492e-02,1.94915e-02,6.86441e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.47458e-04,4.23729e-03,8.47458e-02,0.00000e+00,8.47458e-02,8.47458e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.30508e-02,0.00000e+00,0.00000e+00,4.49153e-02,8.05085e-02,8.47458e-02,2.20339e-02,8.47458e-02,8.47458e-02,0.00000e+00,0.00000e+00
5.67537e-02,0.00000e+00,5.67537e-02,5.67537e-02,2.27015e-03,5.67537e-02,3.29171e-02,0.00000e+00,5.67537e-04,0.00000e+00,0.00000e+00,0.00000e+00,4.76731e-02,5.61862e-02,5.67537e-02,5.67537e-02,0.00000e+00,2.15664e-02,0.00000e+00,5.61862e-02,5.27809e-02,0.00000e+00,0.00000e+00,5.67537e-04,5.67537e-02,5.67537e-02,5.67537e-02,5.67537e-02,4.82406e-02,5.67537e-02,0.00000e+00,5.67537e-02
9.71259e-02,0.00000e+00,9.91080e-02,9.91080e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.91080e-04,0.00000e+00,1.38751e-02,0.00000e+00,9.91080e-02,0.00000e+00,0.00000e+00,9.91080e-02,0.00000e+00,0.00000e+00,9.91080e-04,0.00000e+00,9.91080e-02,9.91080e-02,9.91080e-02,9.91080e-02,0.00000e+00,9.41526e-02
0.00000e+00,6.44518e-02,6.64452e-02,0.00000e+00,6.57807e-02,6.64452e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.64452e-02,0.00000e+00,6.64452e-02,6.64452e-02,4.65116e-03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.64452e-02,6.64452e-02,6.17940e-02,0.00000e+00,1.32890e-03,6.64452e-02,6.64452e-02,4.65116e-03,6.64452e-02,6.64452e-02,6.64452e-02,0.00000e+00
0.00000e+00,2.30238e-03,0.00000e+00,6.60015e-02,7.67460e-02,4.14428e-02,7.67460e-02,0.00000e+00,7.67460e-02,6.13968e-03,0.00000e+00,7.67460e-02,7.67460e-02,2.60936e-02,0.00000e+00,7.59785e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.76285e-02,7.67460e-02,7.67460e-03,0.00000e+00,5.67920e-02,0.00000e+00,7.67460e-02,0.00000e+00,7.67460e-02,7.59785e-02,0.00000e+00,0.00000e+00
8.58369e-02,9.44206e-03,8.58369e-02,8.58369e-02,0.00000e+00,0.00000e+00,0.00000e+00,7.72532e-02,8.58369e-02,0.00000e+00,0.00000e+00,0.00000e+00,1.97425e-02,8.58369e-02,0.00000e+00,0.00000e+00,8.58369e-02,0.00000e+00,8.41202e-02,0.00000e+00,7.72532e-03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.58369e-02,8.58369e-02,8.58369e-02,2.91845e-02,0.00000e+00,0.00000e+00
1.67224e-03,8.36120e-02,2.50836e-03,8.36120e-04,0.00000e+00,0.00000e+00,8.36120e-02,0.00000e+00,0.00000e+00,6.43813e-02,0.00000e+00,8.36120e-04,0.00000e+00,8.36120e-02,0.00000e+00,0.00000e+00,8.36120e-02,0.00000e+00,7.52508e-02,0.00000e+00,0.00000e+00,8.36120e-02,0.00000e+00,0.00000e+00,0.00000e+00,8.36120e-02,8.36120e-02,8.36120e-02,8.36120e-02,8.36120e-02,0.00000e+00,1.83946e-02
