ARRA,BANK,BCAC,BLCK,BLGL,BDRK,OTHR,BRWN,CBZN,CLPR,CNRY,COPP,CWCD,DBRK,EGLS,GSPT,GSRK,LCOD,LSPN,POP,QLBK,REX,REYE,SBLY,SHRP,SNOS,SSPN,STRK,VRML,WDOW,YEYE,YTRK
4.20345e-02,4.20345e-02,4.20345e-02,4.20345e-02,4.20345e-02,4.20345e-02,0.00000e+00,0.00000e+00,4.20345e-02,0.00000e+00,4.16141e-02,4.20345e-02,4.20345e-02,4.20345e-02,4.20345e-02,4.20345e-02,4.20345e-02,0.00000e+00,4.20345e-02,2.14376e-02,4.20345e-02,4.16141e-02,0.00000e+00,4.20345e-02,6.30517e-03,4.20345e-02,4.20345e-02,4.20345e-02,4.20345e-02,4.20345e-02,6.30517e-03,0.00000e+00
3.71747e-02,0.00000e+00,3.71747e-02,3.71747e-02,0.00000e+00,3.71747e-02,3.71747e-02,3.71747e-02,3.71747e-02,3.71747e-02,3.71747e-02,3.71747e-02,3.71747e-02,3.71747e-02,3.71747e-02,3.71747e-02,3.71747e-02,5.94796e-03,2.49071e-02,7.43494e-04,3.71747e-02,3.71747e-02,2.71375e-02,3.71747e-02,3.71747e-02,1.18959e-02,3.71747e-02,3.71747e-02,3.71747e-02,3.71747e-02,3.71747e-02,3.71747e-02
3.83583e-02,3.83583e-02,3.83583e-02,3.83583e-02,1.91791e-03,3.83583e-02,3.83583e-02,3.83583e-02,3.83583e-02,0.00000e+00,3.83583e-02,2.68508e-03,3.83583e-02,3.83583e-02,3.60568e-02,3.83583e-02,3.79747e-02,3.83583e-04,3.83583e-02,3.83583e-02,3.83583e-02,3.83583e-02,3.83583e-02,3.83583e-02,3.83583e-04,3.83583e-02,3.83583e-02,3.83583e-02,3.83583e-02,3.83583e-02,0.00000e+00,3.83583e-02
4.12031e-02,4.12031e-02,0.00000e+00,7.00453e-03,4.12031e-02,4.12031e-02,4.12031e-02,4.12031e-02,4.12031e-02,1.31850e-02,4.12031e-02,4.12031e-02,4.12031e-02,4.12031e-02,0.00000e+00,4.12031e-02,3.29625e-02,0.00000e+00,4.12031e-02,4.03791e-02,4.12031e-02,0.00000e+00,4.12031e-02,4.12031e-02,0.00000e+00,4.12031e-02,4.12031e-02,4.12031e-02,4.12031e-02,4.12031e-02,0.00000e+00,4.12031e-02
3.95570e-02,3.95570e-02,3.95570e-02,3.95570e-02,3.95570e-02,0.00000e+00,3.95570e-02,3.95570e-02,3.95570e-02,3.95570e-02,3.95570e-02,3.95570e-02,3.63924e-02,3.95570e-02,3.95570e-02,3.95570e-02,1.46361e-02,3.95570e-02,0.00000e+00,0.00000e+00,3.95570e-02,3.95570e-02,3.32278e-02,0.00000e+00,3.95570e-02,3.95570e-02,3.95570e-02,3.95570e-02,3.95570e-02,3.95570e-02,7.91139e-04,5.14241e-03
3.59324e-02,3.59324e-02,3.59324e-02,3.59324e-02,0.00000e+00,3.59324e-02,3.59324e-02,0.00000e+00,3.59324e-02,3.59324e-02,3.59324e-02,0.00000e+00,3.59324e-02,3.59324e-02,3.59324e-02,3.59324e-02,3.59324e-02,3.34172e-02,3.59324e-02,3.59324e-02,3.59324e-02,3.59324e-02,3.59324e-02,3.19799e-02,3.59324e-02,3.59324e-02,3.59324e-02,3.59324e-02,3.59324e-02,3.59324e-02,3.59324e-02,3.59324e-04
3.48918e-02,3.48918e-02,3.48918e-02,3.48918e-02,3.45429e-02,3.48918e-02,3.48918e-04,0.00000e+00,3.48918e-02,3.48918e-02,3.48918e-02,3.45429e-02,3.48918e-02,3.48918e-02,3.48918e-02,2.51221e-02,3.48918e-02,3.48918e-02,3.48918e-02,3.41940e-02,3.48918e-02,3.38451e-02,3.48918e-02,0.00000e+00,3.48918e-02,3.48918e-02,3.48918e-02,3.48918e-02,3.48918e-02,3.48918e-02,3.48918e-02,3.48918e-02
4.33839e-02,4.33839e-02,4.33839e-02,4.33839e-02,4.33839e-02,4.29501e-02,4.33839e-02,0.00000e+00,0.00000e+00,8.24295e-03,4.33839e-02,4.33839e-02,5.63991e-03,4.33839e-02,2.73319e-02,4.33839e-02,4.33839e-02,4.33839e-02,4.33839e-02,4.33839e-02,4.33839e-02,0.00000e+00,4.33839e-03,0.00000e+00,4.33839e-02,4.33839e-02,4.33839e-02,4.33839e-02,4.33839e-02,4.33839e-02,4.33839e-04,0.00000e+00
3.89864e-02,3.66472e-02,3.89864e-02,3.89864e-02,3.89864e-02,3.89864e-02,3.89864e-02,0.00000e+00,3.89864e-02,0.00000e+00,3.89864e-02,3.89864e-02,3.89864e-02,3.89864e-02,3.89864e-02,3.89864e-02,3.89864e-04,0.00000e+00,3.89864e-02,0.00000e+00,3.89864e-02,3.89864e-02,3.89864e-02,2.53411e-02,3.89864e-02,3.89864e-02,3.89864e-02,3.89864e-02,3.89864e-02,3.85965e-02,3.89864e-02,2.33918e-03
3.75094e-02,3.75094e-02,3.75094e-02,3.75094e-02,3.75094e-02,3.75094e-02,3.75094e-02,3.75094e-02,3.75094e-02,3.75094e-02,3.75094e-02,0.00000e+00,1.01275e-02,3.75094e-02,3.75094e-02,3.75094e-02,3.75094e-02,3.75094e-02,3.75094e-02,1.12528e-03,3.71343e-02,3.75094e-02,3.75094e-04,3.75094e-02,3.75094e-02,3.75094e-02,3.75094e-02,3.75094e-02,1.35034e-02,3.75094e-02,0.00000e+00,3.75094e-02
4.34028e-02,4.34028e-02,4.34028e-02,0.00000e+00,4.34028e-02,1.64931e-02,0.00000e+00,0.00000e+00,4.34028e-02,0.00000e+00,4.34028e-02,4.34028e-02,0.00000e+00,4.34028e-02,8.68056e-03,4.34028e-02,4.34028e-02,4.34028e-02,4.34028e-02,0.00000e+00,1.90972e-02,1.73611e-03,4.34028e-02,4.25347e-02,4.34028e-02,4.34028e-02,4.34028e-02,4.34028e-02,4.34028e-02,4.34028e-02,4.34028e-02,4.34028e-02
3.60360e-02,1.08108e-03,3.60360e-02,3.60360e-02,3.60360e-02,1.08108e-02,3.60360e-02,3.60360e-02,3.60360e-02,3.60360e-02,3.60360e-02,3.60360e-02,3.60360e-02,3.60360e-02,3.60360e-02,3.60360e-02,2.88288e-03,1.80180e-02,3.60360e-02,3.56757e-02,3.60360e-02,3.60360e-02,3.60360e-02,3.06306e-02,3.60360e-02,3.60360e-02,3.60360e-02,3.60360e-02,3.60360e-02,3.60360e-02,0.00000e+00,3.60360e-02
3.60750e-02,3.60750e-02,3.60750e-02,3.60750e-02,0.00000e+00,3.60750e-04,3.60750e-02,3.60750e-02,3.60750e-02,3.60750e-02,3.13853e-02,3.60750e-02,3.60750e-02,3.60750e-02,3.60750e-02,3.60750e-02,3.60750e-02,0.00000e+00,3.60750e-02,3.60750e-02,3.53535e-02,3.21068e-02,3.60750e-02,3.60750e-02,3.60750e-02,3.60750e-02,3.49928e-02,3.60750e-02,3.60750e-02,3.60750e-02,0.00000e+00,3.60750e-02
4.12201e-02,2.47321e-03,0.00000e+00,4.12201e-02,4.12201e-02,0.00000e+00,4.12201e-02,2.88541e-03,4.12201e-02,0.00000e+00,4.12201e-02,4.12201e-02,3.54493e-02,4.12201e-02,4.12201e-02,4.12201e-02,1.23660e-03,3.95713e-02,4.12201e-02,4.12201e-02,1.15416e-02,4.12201e-02,0.00000e+00,4.12201e-02,4.12201e-02,4.12201e-02,4.12201e-02,4.12201e-02,4.12201e-02,4.12201e-02,4.12201e-02,4.12201e-02
3.36134e-02,3.36134e-02,3.36134e-02,3.36134e-02,0.00000e+00,3.36134e-02,3.36134e-02,3.36134e-02,3.36134e-02,3.36134e-02,3.36134e-02,3.36134e-02,3.32773e-02,3.36134e-02,3.36134e-02,3.36134e-02,3.36134e-02,3.36134e-02,3.36134e-02,2.55462e-02,3.36134e-02,3.36134e-02,3.36134e-02,0.00000e+00,3.36134e-02,3.36134e-02,3.36134e-02,3.36134e-02,3.36134e-02,3.36134e-02,3.36134e-02,3.36134e-02
3.38753e-02,3.38753e-02,3.38753e-02,3.38753e-02,0.00000e+00,3.38753e-02,3.35366e-02,3.38753e-02,3.38753e-02,3.38753e-02,3.38753e-02,3.38753e-02,3.38753e-02,3.38753e-02,3.38753e-02,3.38753e-02,3.38753e-02,1.96477e-02,3.15041e-02,1.01626e-03,3.38753e-02,3.38753e-02,3.38753e-02,3.35366e-02,3.38753e-02,3.38753e-02,3.38753e-02,3.38753e-02,3.38753e-02,3.38753e-02,3.38753e-02,3.38753e-02
