ARRA,BANK,BCAC,BLCK,BLGL,BDRK,OTHR,BRWN,CBZN,CLPR,CNRY,COPP,CWCD,DBRK,EGLS,GSPT,GSRK,LCOD,LSPN,POP,QLBK,REX,REYE,SBLY,SHRP,SNOS,SSPN,STRK,VRML,WDOW,YEYE,YTRK
5.35906e-02,0.00000e+00,5.35906e-02,1.07181e-03,0.00000e+00,5.35906e-02,5.35906e-02,0.00000e+00,5.35906e-02,4.01929e-02,5.35906e-02,2.73312e-02,5.35906e-02,1.71490e-02,0.00000e+00,5.25188e-02,2.89389e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.35906e-02,5.35906e-02,8.03859e-03,0.00000e+00,4.98392e-02,5.35906e-02,5.35906e-02,2.46517e-02,5.35906e-02,5.35906e-02,0.00000e+00,5.35906e-02
0.00000e+00,0.00000e+00,1.60858e-03,1.07239e-03,5.36193e-02,5.36193e-02,0.00000e+00,5.36193e-02,5.36193e-02,9.11528e-03,4.93298e-02,5.04021e-02,5.36193e-02,5.36193e-02,5.20107e-02,5.36193e-02,5.36193e-02,1.28686e-02,2.68097e-03,0.00000e+00,5.36193e-02,5.36193e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.36193e-02,4.77212e-02,2.25201e-02,5.36193e-02,5.36193e-02,0.00000e+00,5.36193e-02
3.21101e-02,0.00000e+00,5.73394e-02,5.73394e-02,0.00000e+00,5.73394e-02,5.73394e-02,5.16055e-02,0.00000e+00,5.73394e-02,0.00000e+00,0.00000e+00,5.27523e-02,5.73394e-02,0.00000e+00,5.73394e-02,0.00000e+00,4.35780e-02,2.00688e-02,0.00000e+00,5.73394e-02,5.73394e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.73394e-02,5.73394e-02,5.44725e-02,5.73394e-02,5.73394e-02,0.00000e+00,0.00000e+00
8.00000e-02,5.60000e-02,8.00000e-02,1.60000e-03,6.08000e-02,0.00000e+00,8.00000e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.20000e-03,0.00000e+00,0.00000e+00,0.00000e+00,6.40000e-03,0.00000e+00,6.08000e-02,0.00000e+00,0.00000e+00,8.00000e-02,8.00000e-02,1.12000e-02,0.00000e+00,0.00000e+00,8.00000e-02,8.00000e-02,0.00000e+00,8.00000e-02,8.00000e-02,0.00000e+00,8.00000e-02
5.90319e-02,0.00000e+00,9.44510e-03,5.90319e-02,0.00000e+00,1.71192e-02,5.90319e-02,5.90319e-02,5.90319e-02,5.90319e-02,5.90319e-02,5.90319e-02,5.90319e-02,4.54545e-02,1.18064e-03,3.65998e-02,5.90319e-02,0.00000e+00,0.00000e+00,0.00000e+00,4.13223e-03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.90319e-02,5.90319e-02,5.90319e-02,5.90319e-02,5.90319e-02,0.00000e+00,5.90319e-04
5.47945e-02,0.00000e+00,0.00000e+00,5.47945e-02,5.47945e-02,3.72603e-02,2.73973e-03,4.93151e-02,5.47945e-02,0.00000e+00,0.00000e+00,5.47945e-02,5.47945e-02,5.47945e-02,5.47945e-02,5.47945e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.42466e-02,0.00000e+00,5.36986e-02,0.00000e+00,0.00000e+00,5.47945e-02,5.47945e-02,5.47945e-02,5.47945e-02,3.39726e-02,5.47945e-02,1.64384e-03
5.91366e-02,0.00000e+00,5.91366e-04,3.54820e-03,0.00000e+00,0.00000e+00,5.91366e-02,5.91366e-02,5.73625e-02,5.91366e-02,5.20402e-02,5.91366e-02,4.96747e-02,0.00000e+00,5.91366e-02,4.31697e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.91366e-02,5.85452e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.91366e-02,5.91366e-02,5.91366e-02,5.91366e-02,5.91366e-02,0.00000e+00,2.54287e-02
5.10986e-02,1.37966e-02,5.10986e-02,5.05876e-02,0.00000e+00,0.00000e+00,3.78130e-02,0.00000e+00,5.10986e-02,0.00000e+00,5.10986e-02,0.00000e+00,5.10986e-02,5.10986e-02,5.10986e-02,5.10986e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.10986e-02,4.64997e-02,5.10986e-02,5.10986e-02,0.00000e+00,5.10986e-02,5.10986e-02,5.10986e-02,5.10986e-02,1.37966e-02,0.00000e+00,5.05876e-02,2.04394e-02
5.52486e-02,1.65746e-02,0.00000e+00,3.97790e-02,0.00000e+00,0.00000e+00,5.52486e-02,0.00000e+00,4.58564e-02,5.52486e-02,0.00000e+00,5.52486e-04,5.52486e-02,5.52486e-02,1.98895e-02,5.52486e-02,0.00000e+00,0.00000e+00,5.46961e-02,0.00000e+00,5.52486e-02,5.52486e-02,0.00000e+00,5.52486e-02,5.52486e-02,5.19337e-02,5.24862e-02,5.52486e-02,5.52486e-02,5.52486e-02,0.00000e+00,0.00000e+00
4.45236e-02,0.00000e+00,4.45236e-02,4.45236e-02,2.67142e-02,4.45236e-02,4.45236e-02,4.45236e-02,4.36331e-02,4.40784e-02,5.34283e-03,4.36331e-02,4.45236e-02,4.45236e-02,8.45948e-03,4.00712e-03,4.45236e-02,0.00000e+00,4.45236e-02,2.84951e-02,0.00000e+00,3.87355e-02,4.45236e-02,0.00000e+00,4.45236e-02,4.45236e-02,4.45236e-02,4.45236e-02,4.45236e-02,4.45236e-02,0.00000e+00,0.00000e+00
