species,year,qtr,portComplex,gearGroup,marketCategory,live,sampleNumber,clusterNumber,weight,comLands
ARRA,1983,1,BRG,TWL,250,N,198302295,1,3,1148
ARRA,1983,1,MNT,TWL,250,N,198302056,1,3,6030
ARRA,1983,1,MNT,TWL,250,N,198302065,1,1,6030
ARRA,1983,1,MNT,TWL,250,N,198302064,1,1,6030
ARRA,1983,1,MNT,TWL,250,N,198302062,1,1,6030
ARRA,1983,1,MNT,TWL,250,N,198302056,2,6,6030
ARRA,1983,1,MNT,TWL,250,N,198302065,2,1,6030
ARRA,1983,1,MNT,TWL,250,N,198302097,1,1,6030
ARRA,1983,2,CRS,TWL,250,N,198302488,1,3,6755
ARRA,1983,2,ERK,TWL,250,N,198302479,1,2,6236
ARRA,1983,2,ERK,TWL,250,N,198302422,1,10,6236
ARRA,1983,2,ERK,TWL,250,N,198302489,1,3,6236
ARRA,1983,3,BRG,TWL,250,N,198302359,1,5,5163
ARRA,1983,3,BRG,TWL,250,N,198302767,1,1,5163
ARRA,1983,3,BRG,TWL,250,N,198302775,1,1,5163
ARRA,1983,3,BRG,TWL,250,N,198302760,1,1,5163
ARRA,1983,3,BRG,TWL,250,N,198302762,1,1,5163
ARRA,1983,3,BRG,TWL,250,N,198302754,1,1,5163
ARRA,1983,3,ERK,TWL,250,N,198302501,1,2,4331
ARRA,1983,3,ERK,TWL,250,N,198302533,1,3,4331
ARRA,1983,3,ERK,TWL,250,N,198302498,1,4,4331
ARRA,1983,3,ERK,TWL,250,N,198302531,1,4,4331
ARRA,1983,3,ERK,TWL,250,N,198302545,1,9,4331
ARRA,1983,4,CRS,TWL,250,N,198302619,1,14,29530
ARRA,1983,4,CRS,TWL,250,N,198302611,1,10,29530
ARRA,1984,1,MNT,TWL,250,N,198402697,1,1,296
ARRA,1984,2,CRS,TWL,250,N,198403343,1,4,6668
ARRA,1984,2,CRS,TWL,250,N,198403343,2,8,6668
ARRA,1984,2,CRS,TWL,250,N,198403314,1,1,6668
ARRA,1984,3,CRS,TWL,250,N,198403404,2,3,502
ARRA,1984,3,ERK,TWL,250,N,198403423,1,19,3707
ARRA,1984,3,ERK,TWL,250,N,198403417,1,7,3707
ARRA,1984,3,ERK,TWL,250,N,198403417,2,3,3707
ARRA,1984,3,ERK,TWL,250,N,198403423,2,11,3707
ARRA,1984,3,ERK,TWL,250,N,198403378,1,1,3707
ARRA,1984,3,ERK,TWL,250,N,198403422,1,2,3707
ARRA,1984,3,MRO,TWL,250,N,198402968,2,1,154
ARRA,1984,4,BRG,TWL,250,N,198403092,2,7,148
ARRA,1984,4,BRG,TWL,250,N,198403092,1,6,148
ARRA,1984,4,MRO,TWL,250,N,198402981,2,2,66
ARRA,1984,4,MRO,TWL,250,N,198402988,1,1,66
ARRA,1984,4,MRO,TWL,250,N,198402996,1,2,66
ARRA,1984,4,MRO,TWL,250,N,198402988,2,4,66
ARRA,1985,1,BRG,TWL,250,N,198503119,2,3,616
ARRA,1985,1,BRG,TWL,250,N,198503119,1,1,616
ARRA,1985,1,MRO,TWL,250,N,198503653,2,1,2766
ARRA,1985,1,MRO,TWL,250,N,198503632,1,9,2766
ARRA,1985,1,MRO,TWL,250,N,198503635,1,6,2766
ARRA,1985,1,MRO,TWL,250,N,198503635,2,5,2766
ARRA,1985,1,MRO,TWL,250,N,198503632,2,10,2766
ARRA,1985,2,BRG,TWL,250,N,198504050,2,3,1722
ARRA,1985,2,BRG,TWL,250,N,198503160,1,6,1722
ARRA,1985,2,BRG,TWL,250,N,198503160,2,4,1722
ARRA,1985,2,ERK,TWL,250,N,198504207,1,16,1412
ARRA,1985,2,ERK,TWL,250,N,198504207,2,9,1412
ARRA,1985,2,MRO,TWL,250,N,198503663,1,1,866
ARRA,1985,2,MRO,TWL,250,N,198503680,1,1,866
ARRA,1985,2,MRO,TWL,250,N,198503672,2,7,866
ARRA,1985,2,MRO,TWL,250,N,198503672,1,6,866
ARRA,1985,2,OSD,NET,250,N,198510355,2,1,47
ARRA,1985,3,BRG,TWL,250,N,198504087,1,2,2824
ARRA,1985,3,BRG,TWL,250,N,198504082,1,3,2824
ARRA,1985,3,BRG,TWL,250,N,198504089,1,2,2824
ARRA,1985,3,BRG,TWL,250,N,198504095,2,1,2824
ARRA,1985,3,BRG,TWL,250,N,198504082,2,6,2824
ARRA,1985,3,BRG,TWL,250,N,198504087,2,2,2824
ARRA,1985,3,MNT,NET,250,N,198503857,1,1,87
ARRA,1985,3,MNT,TWL,250,N,198503871,1,1,528
ARRA,1985,3,MNT,TWL,250,N,198503893,2,1,528
