,species,year,qtr,portComplex,gearGroup,marketCategory,live,sampleNumber,clusterNumber,weight,comLands
3616,YTRK,1982,2,MNT,TWL,250,N,198201686,1,2,27259
3617,YTRK,1982,2,MNT,TWL,250,N,198201688,1,4,27259
3618,YTRK,1982,3,BDG,TWL,250,N,198201593,1,8,4003
3619,YTRK,1982,3,CRS,HKL,250,N,198201789,1,23,303489
3620,YTRK,1982,3,CRS,TWL,250,N,198201815,1,3,20995
3621,YTRK,1982,3,ERK,HKL,250,N,198201819,2,1,523
3622,YTRK,1982,3,ERK,TWL,250,N,198201778,1,11,43705
3623,YTRK,1982,3,ERK,TWL,250,N,198201801,2,6,43705
3624,YTRK,1982,3,ERK,TWL,250,N,198201764,2,3,43705
3625,YTRK,1982,3,ERK,TWL,250,N,198201843,1,8,43705
3626,YTRK,1982,3,ERK,TWL,250,N,198201848,1,6,43705
3627,YTRK,1982,3,ERK,TWL,250,N,198201807,1,6,43705
3628,YTRK,1982,3,ERK,TWL,250,N,198201804,1,26,43705
3629,YTRK,1982,3,ERK,TWL,250,N,198201783,1,8,43705
3630,YTRK,1982,3,ERK,TWL,250,N,198201762,1,3,43705
3631,YTRK,1982,3,ERK,TWL,250,N,198201769,1,7,43705
3632,YTRK,1982,3,ERK,TWL,250,N,198201836,1,3,43705
3633,YTRK,1982,3,ERK,TWL,250,N,198201824,1,3,43705
3634,YTRK,1982,3,ERK,TWL,250,N,198201769,2,2,43705
3635,YTRK,1982,3,ERK,TWL,250,N,198201801,1,3,43705
3636,YTRK,1982,3,ERK,TWL,250,N,198201808,3,6,43705
3637,YTRK,1982,3,ERK,TWL,250,N,198201764,1,9,43705
3638,YTRK,1982,3,ERK,TWL,250,N,198201807,2,10,43705
3639,YTRK,1982,3,MNT,TWL,250,N,198201644,1,20,29004
3640,YTRK,1982,3,MNT,TWL,250,N,198201692,1,13,29004
3641,YTRK,1982,3,MNT,TWL,250,N,198201644,2,10,29004
3642,YTRK,1982,3,MNT,TWL,250,N,198201640,2,34,29004
3643,YTRK,1982,3,MNT,TWL,250,N,198201855,3,15,29004
3644,YTRK,1982,3,MNT,TWL,250,N,198201692,2,29,29004
3645,YTRK,1982,3,MNT,TWL,250,N,198201639,1,5,29004
3646,YTRK,1982,3,MNT,TWL,250,N,198201639,2,5,29004
3647,YTRK,1982,3,MNT,TWL,250,N,198201641,1,14,29004
3648,YTRK,1982,3,MRO,HKL,250,N,198200075,1,3,552
3649,YTRK,1982,4,BRG,TWL,250,N,198282104,1,19,28238
3650,YTRK,1982,4,BRG,TWL,250,N,198201952,1,9,28238
3651,YTRK,1982,4,CRS,HKL,250,N,198201915,1,12,17083
3652,YTRK,1982,4,CRS,TWL,250,N,198201914,1,13,12352
3653,YTRK,1982,4,ERK,TWL,250,N,198201908,1,6,12587
3654,YTRK,1982,4,ERK,TWL,250,N,198201918,1,30,12587
3655,YTRK,1982,4,ERK,TWL,250,N,198201927,1,33,12587
3656,YTRK,1982,4,ERK,TWL,250,N,198201937,1,10,12587
3657,YTRK,1982,4,ERK,TWL,250,N,198201923,1,3,12587
3658,YTRK,1982,4,ERK,TWL,250,N,198201917,1,42,12587
3659,YTRK,1982,4,ERK,TWL,250,N,198201932,1,7,12587
3660,YTRK,1982,4,ERK,TWL,250,N,198201849,1,3,12587
3661,YTRK,1982,4,ERK,TWL,250,N,198201911,2,3,12587
3662,YTRK,1982,4,ERK,TWL,250,N,198201853,1,34,12587
3663,YTRK,1982,4,ERK,TWL,250,N,198201849,2,3,12587
3664,YTRK,1982,4,ERK,TWL,250,N,198201928,1,3,12587
3665,YTRK,1982,4,ERK,TWL,250,N,198201939,1,9,12587
3666,YTRK,1982,4,ERK,TWL,250,N,198201922,1,1,12587
3667,YTRK,1982,4,MNT,TWL,250,N,198201890,1,15,4980
3668,YTRK,1982,4,MNT,TWL,250,N,198201890,2,4,4980
3669,YTRK,1982,4,MRO,TWL,250,N,198201636,1,13,110
